FeH,EuFe,sigma_FeH,sigma_EuFe
-0.59,0.37,0.05,0.08
0.18,-0.07,0.05,0.08
0.12,-0.06,0.05,0.08
0.03,-0.04,0.05,0.08
-0.64,0.32,0.05,0.08
-0.54,0.24,0.05,0.08
-0.30,0.03,0.05,0.08
0.34,0.12,0.05,0.08
0.19,-0.06,0.05,0.08
-0.55,0.36,0.05,0.08
-0.15,0.16,0.05,0.08
-0.38,0.26,0.05,0.08
-0.24,0.12,0.05,0.08
-0.29,0.25,0.05,0.08
-0.59,0.54,0.05,0.08
0.16,-0.08,0.05,0.08
-0.26,0.17,0.05,0.08
-0.32,0.26,0.05,0.08
-0.35,0.19,0.05,0.08
-0.06,0.10,0.05,0.08
0.12,-0.03,0.05,0.08
-0.29,0.05,0.05,0.08
0.00,0.01,0.05,0.08
-0.11,0.08,0.05,0.08
0.04,0.09,0.05,0.08
-0.08,0.19,0.05,0.08
-0.44,0.31,0.05,0.08
0.22,-0.02,0.05,0.08
-0.50,0.22,0.05,0.08
-0.62,0.32,0.05,0.08
0.20,-0.08,0.05,0.08
0.04,0.05,0.05,0.08
-0.61,0.47,0.05,0.08
0.00,0.04,0.05,0.08
-0.23,0.15,0.05,0.08
-0.30,0.15,0.05,0.08
-0.33,0.15,0.05,0.08
0.10,-0.06,0.05,0.08
-0.28,0.25,0.05,0.08
0.04,0.06,0.05,0.08
-0.28,0.32,0.05,0.08
-0.05,0.13,0.05,0.08
0.08,-0.04,0.05,0.08
-0.01,0.13,0.05,0.08
0.03,0.37,0.05,0.08
-0.12,0.18,0.05,0.08
-0.36,0.23,0.05,0.08
-0.06,0.02,0.05,0.08
-0.45,0.35,0.05,0.08
0.12,-0.12,0.05,0.08
-0.23,0.18,0.05,0.08
-0.14,0.11,0.05,0.08
-0.70,0.24,0.05,0.08
-0.13,0.00,0.05,0.08
0.03,0.04,0.05,0.08
-0.18,0.07,0.05,0.08
-0.69,0.44,0.05,0.08
-0.26,0.29,0.05,0.08
0.07,0.17,0.05,0.08
-0.45,0.31,0.05,0.08
-0.06,0.16,0.05,0.08
0.08,-0.10,0.05,0.08
-0.44,0.32,0.05,0.08
-0.57,0.37,0.05,0.08
-0.43,0.34,0.05,0.08
-0.05,0.21,0.05,0.08
-0.54,0.27,0.05,0.08
-0.81,0.47,0.05,0.08
0.20,-0.12,0.05,0.08
0.16,0.05,0.05,0.08
-0.13,0.18,0.05,0.08
-0.93,0.48,0.05,0.08
-0.52,0.44,0.05,0.08
-0.16,0.27,0.05,0.08
-0.46,0.48,0.05,0.08
-0.32,0.28,0.05,0.08
-0.11,0.06,0.05,0.08
0.22,-0.01,0.05,0.08
-0.15,0.15,0.05,0.08
0.08,0.07,0.05,0.08
0.02,0.09,0.05,0.08
0.15,0.11,0.05,0.08
-0.35,0.38,0.05,0.08
0.06,0.02,0.05,0.08
-0.13,0.08,0.05,0.08
-0.22,0.28,0.05,0.08
0.22,0.17,0.05,0.08
-0.34,0.17,0.05,0.08
-0.28,0.28,0.05,0.08
0.00,0.21,0.05,0.08
-0.23,0.11,0.05,0.08
-0.40,0.28,0.05,0.08
-0.88,0.52,0.05,0.08
-0.07,0.03,0.05,0.08
-0.17,0.19,0.05,0.08
-0.16,0.17,0.05,0.08
-0.33,0.17,0.05,0.08
0.07,-0.01,0.05,0.08
0.05,0.03,0.05,0.08
-0.57,0.39,0.05,0.08
-0.06,0.00,0.05,0.08
-0.44,0.20,0.05,0.08
-0.26,0.24,0.05,0.08
0.04,0.14,0.05,0.08
-0.64,0.56,0.05,0.08
-0.68,0.32,0.05,0.08
-0.62,0.33,0.05,0.08
-0.24,0.35,0.05,0.08
-0.25,0.18,0.05,0.08
-0.04,0.10,0.05,0.08
-0.04,0.23,0.05,0.08
-0.96,0.51,0.05,0.08
-0.26,0.10,0.05,0.08
-0.35,0.29,0.05,0.08
-0.44,0.30,0.05,0.08
-0.52,0.22,0.05,0.08
-0.20,0.16,0.05,0.08
-0.95,0.48,0.05,0.08
-0.84,0.42,0.05,0.08
-0.33,0.22,0.05,0.08
-0.89,0.45,0.05,0.08
-0.35,0.43,0.05,0.08
-0.05,0.17,0.05,0.08
-0.19,0.05,0.05,0.08
-0.84,0.46,0.05,0.08
-0.32,0.28,0.05,0.08
-0.04,0.09,0.05,0.08
-0.03,0.12,0.05,0.08
-0.33,0.30,0.05,0.08
-0.03,0.15,0.05,0.08
0.12,-0.02,0.05,0.08
0.14,0.08,0.05,0.08
-0.23,0.24,0.05,0.08
0.14,0.15,0.05,0.08
-0.18,0.31,0.05,0.08
-0.63,0.48,0.05,0.08
-0.27,0.17,0.05,0.08
-0.47,0.35,0.05,0.08
-0.08,0.14,0.05,0.08
-0.50,0.34,0.05,0.08
0.11,0.14,0.05,0.08
-0.21,0.22,0.05,0.08
-0.38,0.20,0.05,0.08
-0.71,0.35,0.05,0.08
-0.41,0.34,0.05,0.08
0.07,0.09,0.05,0.08
-0.52,0.32,0.05,0.08
-0.28,0.23,0.05,0.08
-0.55,0.45,0.05,0.08
-0.43,0.43,0.05,0.08
-0.39,0.30,0.05,0.08
-0.80,0.29,0.05,0.08
0.21,0.04,0.05,0.08
-1.06,0.41,0.05,0.08
-0.42,0.27,0.05,0.08
-0.12,-0.02,0.05,0.08
-0.68,0.34,0.05,0.08
-0.35,0.08,0.05,0.08
-0.41,0.17,0.05,0.08
-0.35,0.09,0.05,0.08
-1.14,0.40,0.05,0.08
-0.84,0.47,0.05,0.08
-0.86,0.33,0.05,0.08
-0.73,0.31,0.05,0.08
0.11,-0.08,0.05,0.08
-0.44,0.29,0.05,0.08
0.10,0.03,0.05,0.08
-1.25,0.50,0.05,0.08
-0.58,0.27,0.05,0.08
-0.45,0.26,0.05,0.08
-0.62,0.19,0.05,0.08
-0.63,0.25,0.05,0.08
-0.70,0.22,0.05,0.08
0.00,-0.09,0.05,0.08
-0.13,0.30,0.05,0.08
0.07,-0.01,0.05,0.08
-0.02,0.13,0.05,0.08
-0.64,0.28,0.05,0.08
-0.05,-0.12,0.05,0.08
-0.65,0.32,0.05,0.08
-0.59,0.41,0.05,0.08
0.09,-0.14,0.05,0.08
-0.67,0.28,0.05,0.08
-0.75,0.35,0.05,0.08
-0.35,0.16,0.05,0.08
-0.62,0.44,0.05,0.08
-0.35,0.19,0.05,0.08
-0.56,0.32,0.05,0.08
-1.51,0.39,0.05,0.08
-0.11,0.01,0.05,0.08
-0.81,0.37,0.05,0.08
-0.81,0.44,0.05,0.08
0.06,0.05,0.05,0.08
-0.19,0.00,0.05,0.08
-0.46,0.29,0.05,0.08
-0.32,0.22,0.05,0.08
-0.66,0.32,0.05,0.08
-0.64,0.24,0.05,0.08
-0.07,0.12,0.05,0.08
-0.16,0.26,0.05,0.08
0.08,0.18,0.05,0.08
-0.88,0.55,0.05,0.08
0.22,-0.02,0.05,0.08
-0.91,0.41,0.05,0.08
-0.47,0.35,0.05,0.08
-0.11,0.18,0.05,0.08
-0.08,0.02,0.05,0.08
-0.27,0.28,0.05,0.08
-1.03,0.45,0.05,0.08
0.37,-0.07,0.05,0.08
0.07,0.06,0.05,0.08
-0.33,0.31,0.05,0.08
-0.06,0.05,0.05,0.08
0.07,-0.05,0.05,0.08
-0.09,0.12,0.05,0.08
-0.70,0.27,0.05,0.08
-0.70,0.39,0.05,0.08
-0.01,0.03,0.05,0.08
0.01,-0.04,0.05,0.08
-0.31,0.33,0.05,0.08
-0.58,0.10,0.05,0.08
-0.50,0.62,0.05,0.08
-0.44,0.25,0.05,0.08
-0.03,0.06,0.05,0.08
-0.32,0.24,0.05,0.08
-0.55,0.29,0.05,0.08
0.07,-0.06,0.05,0.08
-0.08,0.13,0.05,0.08
-0.30,0.26,0.05,0.08
-0.49,0.34,0.05,0.08
-0.17,0.06,0.05,0.08
-0.07,0.09,0.05,0.08
-0.35,0.36,0.05,0.08
-0.29,0.28,0.05,0.08
0.14,0.17,0.05,0.08
-0.23,0.18,0.05,0.08
-0.25,0.35,0.05,0.08
-0.39,0.35,0.05,0.08
-0.50,0.51,0.05,0.08
-0.08,0.07,0.05,0.08
