FeH,EuFe,sigma_FeH,sigma_EuFe
-2.06,0.87,0.08,0.05
-2.20,-0.43,0.00,0.00
-1.00,-0.12,0.00,0.00
-2.51,0.08,0.11,0.05
-2.62,0.54,0.11,0.03
-2.50,-0.63,0.17,0.23
-2.10,0.42,0.19,0.06
-2.27,0.12,0.11,0.24
-2.06,0.22,0.17,0.24
-1.71,0.39,0.20,0.24
-2.48,0.28,0.15,0.22
-2.36,0.36,0.12,0.02
-2.21,0.41,0.19,0.05
-1.77,0.32,0.18,0.27
-2.40,0.29,0.19,0.26
-2.39,0.36,0.19,0.28
-1.52,0.50,0.18,0.29
-2.49,0.87,0.18,0.26
-2.16,0.34,0.19,0.27
-2.44,0.58,0.19,0.26
-2.08,0.49,0.20,0.27
-2.33,0.24,0.19,0.25
-2.43,-0.02,0.19,0.27
-1.85,0.44,0.19,0.29
-2.07,0.68,0.19,0.29
-1.70,0.57,0.20,0.25
-2.21,0.54,0.19,0.27
-2.10,0.97,0.17,0.27
-2.39,0.12,0.20,0.24
-2.40,0.74,0.21,0.25
-2.35,0.07,0.21,0.26
-0.85,0.16,0.00,0.00
-0.58,0.38,0.00,0.00
-0.65,0.19,0.00,0.00
-0.78,0.18,0.00,0.00
-0.88,0.13,0.00,0.00
-0.63,0.30,0.00,0.00
-0.39,-0.01,0.00,0.00
-0.19,0.16,0.00,0.00
-0.51,0.05,0.00,0.00
-2.16,0.78,0.12,0.07
-0.03,0.17,0.00,0.00
-0.62,0.60,0.00,0.00
-1.08,0.45,0.00,0.00
-0.07,-0.09,0.00,0.00
-0.61,0.39,0.00,0.00
-0.36,0.54,0.00,0.00
-0.60,0.20,0.00,0.00
-0.72,0.36,0.00,0.00
-0.65,0.24,0.00,0.00
-0.66,0.22,0.00,0.00
-0.62,0.19,0.00,0.00
-0.50,0.17,0.00,0.00
-0.38,0.25,0.00,0.00
-0.47,0.08,0.00,0.00
-0.35,0.13,0.00,0.00
-0.81,0.28,0.00,0.00
-1.49,0.37,0.00,0.00
-0.95,0.21,0.00,0.00
-0.63,0.52,0.00,0.00
-0.27,0.27,0.00,0.00
-0.48,-0.07,0.00,0.00
-0.61,0.08,0.00,0.00
-0.52,0.04,0.00,0.00
-0.54,0.13,0.00,0.00
-0.46,0.07,0.00,0.00
-0.63,0.06,0.00,0.00
-0.64,0.26,0.00,0.00
-0.70,0.31,0.00,0.00
-0.42,0.25,0.00,0.00
-0.38,0.12,0.00,0.00
-0.44,0.32,0.00,0.00
-0.91,0.28,0.00,0.00
-0.56,-0.07,0.00,0.00
-0.06,-0.02,0.00,0.00
-0.66,0.43,0.00,0.00
-1.24,0.35,0.00,0.00
-1.30,0.37,0.00,0.04
-1.25,0.41,0.00,0.06
-0.90,0.33,0.00,0.04
-1.09,0.34,0.00,0.00
-1.05,0.30,0.00,0.06
-1.34,0.50,0.00,0.04
-0.59,0.47,0.00,0.08
-1.18,0.53,0.00,0.01
-1.25,0.52,0.00,0.04
-1.06,0.58,0.00,0.01
-0.70,0.52,0.00,0.01
-1.35,0.61,0.00,0.08
-1.52,0.40,0.00,0.10
-1.63,0.22,0.00,0.00
-1.50,0.73,0.00,0.02
-0.98,0.35,0.00,0.04
-1.64,0.54,0.00,0.12
-1.64,0.59,0.00,0.07
-1.09,0.34,0.00,0.04
-1.24,0.34,0.00,0.04
-0.95,0.14,0.00,0.09
-0.76,0.40,0.00,0.02
-1.17,0.49,0.00,0.07
-1.99,0.32,0.00,0.02
-1.68,0.66,0.00,0.06
-0.85,0.43,0.00,0.06
-1.91,0.53,0.00,0.03
-0.65,0.06,0.00,0.00
-1.71,0.38,0.00,0.03
-2.26,0.38,0.00,0.05
-1.34,0.18,0.00,0.05
-1.98,0.24,0.00,0.05
-1.62,0.57,0.00,0.04
-1.72,0.26,0.00,0.10
-0.71,0.12,0.00,0.00
-1.90,0.46,0.00,0.06
-1.52,0.61,0.00,0.07
-1.32,0.34,0.00,0.06
-2.62,0.26,0.00,0.02
-1.33,0.81,0.00,0.07
0.05,-0.16,0.00,0.00
-2.04,0.43,0.00,0.09
-1.43,0.64,0.00,0.02
-2.45,0.37,0.00,0.06
-1.48,0.40,0.00,0.04
-0.83,0.33,0.00,0.06
-2.18,0.41,0.00,0.05
-0.05,-0.11,0.00,0.00
-2.11,0.69,0.00,0.05
-1.54,0.32,0.00,0.06
0.15,-0.21,0.00,0.00
-1.95,0.64,0.00,0.08
-1.91,0.45,0.00,0.04
-0.47,0.06,0.00,0.00
-2.01,-0.08,0.00,0.06
-2.17,0.70,0.00,0.08
-1.79,0.55,0.00,0.05
-0.20,-0.16,0.00,0.00
-0.76,0.06,0.00,0.00
-2.60,0.74,0.00,0.05
-1.23,0.23,0.00,0.05
-0.67,0.26,0.00,0.05
-1.43,0.48,0.00,0.07
-1.97,0.57,0.00,0.05
-1.32,0.28,0.00,0.10
-1.08,0.28,0.00,0.04
-1.87,0.37,0.00,0.03
-1.72,0.58,0.00,0.07
-0.68,0.04,0.00,0.00
-0.75,-0.01,0.00,0.00
-1.46,0.60,0.00,0.09
-1.87,0.53,0.00,0.06
-1.90,-0.04,0.00,0.09
-0.15,-0.13,0.00,0.00
-1.69,0.45,0.00,0.14
-1.79,0.24,0.00,0.05
-1.40,0.37,0.00,0.09
