alpha tmin tmax
-2.9613104317297423 273015049.957893 97143566709.12894
-2.951450936246257 267246832.91951793 32357212598.74303
-1.98066645742419 88826858.88361041 72892373585.2596
-2.8380885355617473 244315528.3354876 82857044658.94356
-1.1699765093134151 181715926.34158814 4877073428.710936
-2.8359788650894604 273101781.52991986 47820292276.41868
-2.8408536304193817 257574199.0698548 93623986256.94228
-1.670172249061891 267466851.27709657 72549771790.18237
-2.5849319589364255 298348270.26971155 47525752614.17777
-2.3482126994068087 151162588.9397595 64140948457.71925
-2.798001912793003 245485206.36529627 59570553574.79174
-2.685272965327887 213380505.6198937 63734341550.48795
-2.7766223289278464 274511173.9914387 82544283487.1626
-1.6188891788225157 253612031.04483703 60707536505.64672
-1.5561732378386224 254146609.70979655 28730280463.02249
-2.2830082993777934 145144537.51722506 76452381304.57002
-2.7781661861942584 257100406.07821363 52352882047.745
-2.145684575626081 307618735.4516929 14144796543.921772
-2.181093305542443 303169175.5387214 93765456615.49617
-1.203021153370442 22064794.459686916 23697331432.993683
-1.8567205158322082 290355867.7155847 73916355430.05507
-2.416600484592374 299724032.7341868 95273910261.58966
-1.6798142158573204 260811748.4994264 77561255498.32114
-1.6255469562530056 49797678.89775032 17460753352.98854
-1.8092393135247464 78084692.52040884 48359102411.75772
-2.2805482839209805 300929576.97427684 72227622280.3455
-2.5685900968470214 262949073.1233944 7493371982.795838
-2.165728642183948 130779557.6271478 83899882676.60674
-2.595237499513546 288417004.7647555 87311617843.84315
-2.5973061489761204 287855694.67646366 88644211913.57869
-2.1693223138967883 300225206.21385634 87544968052.5278
-1.6344706185958342 247558455.1213556 62911779691.93956
-2.366256341931475 298734494.6062389 25654260544.84103
-2.587715708431353 285511720.3096464 79419382747.1699
-2.1327067446668315 298154125.76947516 88998433199.77287
-2.236107849202075 146366205.06271768 86595710129.57027
-1.9469935632340165 101584090.5697761 75559590090.73148
-2.502674094479783 286422276.1941224 10789286619.92329
-1.7002900865039217 67766769.78523254 44216546585.332565
-2.2016731650051673 141453266.0257756 85251649486.10214
-1.4496366241362617 143830094.85931563 84266902696.50945
-1.6161592365980515 247504097.51870778 40885827669.168526
-1.5639836168973233 163103245.28567353 4094213834.972003
-1.467671972984859 150425138.24918488 92752641117.52283
-1.821106304770184 84309155.88951048 70423837073.99945
-1.8178334784833177 83828793.93682271 65335246618.4259
-2.043792879772902 115022707.01612735 21038176311.641685
-2.536707757354365 282451886.48796934 11508680672.973248
-2.4185649923674464 182442831.4010057 45498460306.19098
-2.346690829726846 170841959.68729165 76264891773.18506
-2.648381719207573 266218031.4774099 37908121203.945366
-2.0924016357206616 127440030.05374189 52853074140.264206
-2.5072326809642003 203149138.2365129 19443537731.976536
-1.5535848375268375 231264844.2565439 32578165974.24022
-1.8506504485701514 92683259.37535007 82288652381.50096
-2.5528955486606946 278198563.92704904 99592958411.96591
-2.2022367370955336 146532381.68852612 78025794204.07341
-2.5573141497001375 277911417.67944676 22056911825.203785
-2.0531401046000792 119770967.90779027 17663677329.83218
-1.5841629005055924 51612437.71531638 20441698153.401337
-1.8386365613784208 88513755.942671 27987452781.003654
-2.6270937486277766 265685285.40432742 34920863469.39974
-2.1974174525305394 146279546.3063861 38099669189.844604
-2.6054328489880074 268720745.9316863 45974550141.26802
-2.5346097933341625 211647666.42953965 16961557373.296541
-1.446790405540876 119795504.23505987 89874932127.63484
-1.5149217821354504 177049949.46435922 75505786701.93552
-2.447897240935933 194556582.3482732 61733152349.08199
-2.098801304494905 294102691.20552033 10424613639.591457
-2.4330307746194455 287374211.9770256 60747587738.86424
-1.5741328935345174 63603561.89061072 98652606303.97835
-2.1558228648077824 141336154.52672398 76145848825.80295
-1.8632316290036037 277263826.04814273 86061847012.8613
-1.6908640107390023 265883185.44352847 27460573342.236065
-2.603474434636258 261268352.93879986 63650901687.33202
-1.5545242821488623 64197402.18001487 85495289882.78221
-2.4491261088115044 286534359.9615664 16037809193.662323
-2.4516194533998266 285759512.52551115 17705024410.43643
-2.3382194612607416 175596039.14506933 75036634220.46286
-2.1464059929922383 139650187.1332142 32203078014.445473
-1.9026345406398453 101665862.68836223 49030114216.34229
-2.152256245400316 292986599.3274708 58320838189.22818
-1.4344158136523302 31458410.753595997 12129948864.140518
-1.371681243115803 110550672.90391815 38322355469.57796
-1.8626382484519013 250273535.34966967 5989502091.579878
-2.588352040704298 255142356.46737093 66085225935.9341
-2.1778338559236614 252260341.30532008 6551673395.935792
-1.8723577831973786 99707403.17808092 86515623977.88705
-1.4009305367299798 81378420.7493148 58708741418.18234
-1.5929245048177902 62237052.92701016 48198158605.513435
-2.3700309474242087 186635710.57059777 11201383872.69521
-1.4870732370433175 71379177.93535125 87795725028.50476
-2.5338537137762858 220636570.31587547 16177967620.687887
-2.4198322177637275 284514984.8045363 42278012829.53637
-2.5124656016168463 215965803.58567137 78392075780.46696
-1.760104888206969 83325052.19621706 78402423655.3275
-2.0382785567789607 157270238.03039637 6991571402.923922
-2.4851538979333023 209301364.92681044 69056772106.77985
-1.5145875336879717 54601954.3266009 36762069382.7571
-2.5844645383132807 264449751.92147696 24282374126.515335
-1.5511832377720414 201000575.8174743 56555527384.66117
-1.2515292674931264 136798561.41291863 16957569784.285242
-2.4569546044643085 204409943.20458633 74920832160.86044
-2.167701584091131 291469178.39109635 87942250071.61113
-1.4047696323126018 86793846.11646506 57335514424.61439
-1.4437441438821237 115705871.72676703 71857798850.25787
-2.472770725595328 225106076.62495008 9998780633.282072
-2.1902007948405826 151203696.73010328 59212255605.22055
-1.6508371335585896 73630528.40103 59531480997.15045
-2.567761051018717 258837874.78062797 61808741006.04496
-2.276061355939613 163918449.59699452 15225530794.093603
-2.08145905726711 295096072.72726506 12598165608.836067
-2.4429896738532633 278996428.03772163 95353918800.72789
-2.2881498306815287 290167937.85566676 30246849530.247356
-1.3849894788581356 51538750.62908005 33752802543.428432
-2.5580289697237726 248916415.3111358 64621675604.77377
-2.556159400116344 257145767.4485392 71034993481.66959
-2.3621396724240133 183034226.75582886 16215924028.379456
-1.4014589456967232 134810576.0995034 36883857543.968796
-1.594585088955419 164845424.47868147 4973701914.250227
-1.925218391144774 283081940.8958046 35256873301.946205
-1.3802779438307562 225256543.39515874 9307214588.06998
-1.415075392479046 117782254.19591911 49798030776.33089
-1.550936107034061 64130499.04613202 51903937243.574135
-2.5519277289871596 242601821.42630145 48189486461.94411
-1.3575158463384278 33274258.273237698 20248771585.80232
-1.8064495455817937 272013103.6526705 35392893575.26631
-1.7043569102792806 77617065.87600975 37050657609.48428
-1.5110705469682906 76261679.63640475 90178301302.1126
-1.4068428482660436 112721437.93413946 46936234519.64547
-2.420687569585076 200819728.54335585 94246173111.58434
-2.423653396131801 201441221.97840604 71020010066.29742
-2.3861855409746595 282311364.6198699 62413105565.77653
-1.9206871653056767 107582363.67940068 39423256547.56614
-2.0437635465721335 286387731.18242425 81574120526.96321
-2.389937066812441 193179801.00580576 69862854669.43536
-2.543009423492475 237935590.1939647 54885257158.31616
-2.534760676569914 242437113.80392766 12002663920.634655
-2.2243540822207306 157207686.03337127 17250174812.46287
